PARCEL_ID,ADDRESS,PRINT_KEY,PROPERTY_CLASS,BUILD_STYLE,SFLA,LAT,LONG
1,3831  Fennell St,001.-01-01.0,853,,,1077097,538375
2,119  Fennell St,002.-01-01.0,210,08,1976,1076303,538942
3,W Elizabeth St,002.-01-05.0,311,,,1075608,538385
4,W Elizabeth St,002.-01-06.0,311,,,1076223,538308
5,W Elizabeth St,002.-01-07.0,311,,,1075782,539129
6,W Elizabeth St,002.-01-08.0,311,,,1076097,537813
7,123  Jordan St,002.-02-01.0,210,08,1480,1076432,540168
8,121  Jordan St,002.-02-02.0,210,08,2872,1076365,540198
9,119  Jordan St,002.-02-03.0,210,08,2036,1076307,540215
10,117  Jordan St,002.-02-04.0,210,08,2048,1076250,540228
11,113  Jordan St,002.-02-05.0,210,01,1104,1076176,540248
12,111  Jordan St,002.-02-06.0,210,05,2376,1076100,540273
13,109  Jordan St,002.-02-07.0,472,,,1075990,540305
14,109  Jordan St,002.-02-07.0,230,08,3678,1075990,540305
15,101  Jordan St,002.-02-08.0,210,08,1978,1075890,540385
16,99  Jordan St,002.-02-09.0,210,08,2682,1075812,540304
17,97  Jordan St,002.-02-10.0,210,08,2133,1075729,540392
18,95  Jordan St,002.-02-11.0,210,08,2044,1075664,540416
19,93  Jordan St,002.-02-12.0,210,08,2550,1075593,540434
20,91  Jordan St,002.-02-13.1,220,05,4374,1075503,540463
21,OFF  Jordan St,002.-02-13.2,311,,,1075604,540098
22,81  Jordan St,002.-02-16.1,620,,,1075283,540438
23,81  Jordan St,002.-02-16.1,438,,,1075283,540438
24,12 W Austin St,002.-02-18.0,210,01,1333,1075296,540217
25,14 W Austin St,002.-02-19.0,210,08,1212,1075326,540057
26,16 W Austin St,002.-02-20.0,210,08,1572,1075139,540111
27,18 W Austin St,002.-02-21.0,210,08,1820,1075125,540046
28,20 W Austin St,002.-02-22.0,210,08,1480,1075049,540009
29,22 W Austin St,002.-02-23.0,210,08,1130,1075082,539938
30,24 W Austin St,002.-02-24.0,210,08,1609,1075010,539890
31,26 W Austin St,002.-02-25.0,210,08,1876,1074985,539828
32,70  Fennell St,002.-02-26.0,210,08,1680,1075065,539828
33,72  Fennell St,002.-02-27.0,210,05,1622,1075108,539805
34,74  Fennell St,002.-02-28.0,210,08,1463,1075152,539787
35,76  Fennell St,002.-02-29.0,210,04,1429,1075231,539905
36,78  Fennell St,002.-02-30.0,210,08,1492,1075363,539799
37,82  Fennell St,002.-02-31.0,210,05,1594,1075365,539683
38,84  Fennell St,002.-02-32.0,210,08,1396,1075446,539646
39,86  Fennell St,002.-02-33.0,210,08,1447,1075514,539632
40,90  Fennell St,002.-02-34.0,210,01,1247,1075580,539596
41,94  Fennell St,002.-02-35.0,210,04,1641,1075662,539554
42,98  Fennell St,002.-02-36.1,210,08,1260,1075803,539551
43,100  Fennell St,002.-02-36.2,210,01,1986,1075785,539779
44,106  Fennell St,002.-02-37.0,210,01,1394,1076019,539431
45,108  Fennell St,002.-02-38.0,210,05,1198,1076104,539542
46,112  Fennell St,002.-02-40.0,449,,,1076235,539487
47,118  Fennell St,002.-02-41.0,210,01,783,1076354,539624
48,Fennell St,002.-02-42.0,312,,,1076388,539335
49,109  Jordan St,002.-02-43.0,311,,,1076159,539944
50,101  Jordan St,002.-02-44.0,311,,,1075798,540044
51,3793  Jordan Rd,002.-02-45.0,311,,,1076449,539797
52,75  Fennell St,003.-01-01.1,651,,,1074980,539460
53,61  Fennell St,003.-01-03.0,444,,,1074802,539537
54,59  Fennell St,003.-01-04.0,210,08,1986,1074728,539730
55,57  Fennell St,003.-01-05.0,210,08,1648,1074680,539794
56,53  Fennell St,003.-01-06.0,210,08,1838,1074610,539825
57,36 W Elizabeth St,003.-01-07.0,210,08,988,1074616,539733
58,44 W Elizabeth St,003.-01-10.0,210,08,1395,1074588,539421
59,W Elizabeth St,003.-01-11.0,449,,,1074713,539176
60,48 W Elizabeth St,003.-01-12.0,210,08,929,1074502,539322
61,50 W Elizabeth St,003.-01-13.0,210,08,1296,1074488,539274
62,54 W Elizabeth St,003.-01-14.0,210,08,1732,1074435,539105
63,58  W Elizabeth St,003.-01-15.0,314,,,1074412,539015
64,60 W Elizabeth St,003.-01-16.0,210,08,1188,1074383,538936
65,62 W Elizabeth St,003.-01-17.0,210,08,1610,1074342,538890
66,64 W Elizabeth St,003.-01-18.0,210,13,1059,1074319,538820
67,66 W Elizabeth St,003.-01-19.0,210,01,806,1074310,538746
68,68 W Elizabeth St,003.-01-20.0,311,,,1074461,538643
69,70 W Elizabeth St,003.-01-21.0,210,04,1464,1074263,538635
70,72 W Elizabeth St,003.-01-22.0,210,01,888,1074244,538561
71,76 W Elizabeth St,003.-01-23.0,210,02,2310,1074228,538466
72,80 W Elizabeth St,003.-01-24.0,210,08,1525,1074192,538404
73,84 W Elizabeth St,003.-01-25.0,210,08,1338,1074414,538273
74,88 W Elizabeth St,003.-01-26.0,210,08,1307,0,0
75,90 W Elizabeth St,003.-01-27.0,210,08,1923,1074350,538046
76,94 W Elizabeth St,003.-01-28.0,210,01,960,1074067,537999
77,W Elizabeth St,003.-01-29.0,312,,,1074801,538783
78,77  Fennell St,003.-01-30.1,600,,,1075072,539409
79,79  Fennell St,003.-01-30.2,411,,,1075150,539160
80,19 W Austin St,003.-02-01.0,210,08,1892,1074868,540052
81,17 W Austin St,003.-02-02.0,210,08,1360,1074889,540121
82,13 W Austin St,003.-02-03.0,210,08,2334,1074922,540225
